name,artists
Lovers in Japan,Coldplay
"Sweet Dreams, TN",Miles Kane
Do I Wanna Know?,Arctic Monkeys
Only Ones Who Know,Arctic Monkeys
My Mistakes Were Made For You,Miles Kane
Violet Hill,Coldplay
Every Breath You Take - Remastered 2003,The Police
Warriors,Imagine Dragons
The Dark Side,Muse
White Shadows,Coldplay
Prey,The Neighbourhood
The Jeweller's Hands,Arctic Monkeys
No. 1 Party Anthem,Arctic Monkeys
She's Thunderstorms,Arctic Monkeys
Miracle Aligner,Miles Kane
Whistle For The Choir,The Fratellis
Reckless Serenade,Arctic Monkeys
Believer,Imagine Dragons
R.I.P. 2 My Youth,The Neighbourhood
Rock You Like a Hurricane,Scorpions
No Buses,Arctic Monkeys
Knee Socks,Arctic Monkeys
Viva La Vida,Coldplay
Float,The Neighbourhood
R U Mine?,Arctic Monkeys
Sequels,Miles Kane
Youngblood,5 Seconds of Summer
Square One,Coldplay
What If,Coldplay
Wondrous Place,Miles Kane
The Bakery,Arctic Monkeys
Arabella,Arctic Monkeys
Stop Crying Your Heart Out,Oasis
Daddy Issues,The Neighbourhood
Cry Baby,The Neighbourhood
Time Has Come Again,Miles Kane
Love is a Laserquest,Arctic Monkeys
Reflections,The Neighbourhood
Scary Love,The Neighbourhood
The Hardest Part,Coldplay
My Kind of Woman,Mac DeMarco
Why'd You Only Call Me When You're High?,Arctic Monkeys
Swallowed in the Sea,Coldplay
Robbers,The 1975
Sweater Weather,The Neighbourhood
The Dream Synopsis,Miles Kane
Ruby,Kaiser Chiefs
Chamber Of Reflection,Mac DeMarco
Hotel California - 2013 Remaster,Eagles
I Wanna Be Yours,Arctic Monkeys
Fireside,Arctic Monkeys
Secret Door,Arctic Monkeys
Piledriver waltz,Alex Turner
One Point Perspective,Arctic Monkeys
The Ultracheese,Arctic Monkeys
Runaway,Bon Jovi
